brand,text,created_at,label,cleaned_text
Apple,wow for this. nice but camera bot good,2023/7/28,positive,wow nice camera bot good
Apple,Excelente iPhone renovado. iPhone fue recibido con 99% de capacidad mÃ¡xima de baterÃ­a. LlegÃ³ desbloqueado y fue fÃ¡cil de activar con mi proveedor de telefonÃ­a.,2023/11/15,positive,excelente iphone renovado iphone fue recibido con de capacidad maxima de bateraa llega desbloqueado fue facil de activar con mi proveedor de telefonaa
Apple,Showoff product. I bought this phone Bcoz I have lot of money to showoff.,2022/3/31,negative,showoff product bought phone bcoz lot money showoff
Apple,Review from the iPhone itself. FANTASTIC is the word to describe the experience. Coming from 10 years as android user including Pixel 4.,2022/7/14,positive,review iphone fantastic word describe experience coming years android user including pixel
Apple,Good for all purpose. Good @ low end use,2023/6/18,positive,good purpose good low end use
Apple,iPhone 15. Awesome,2024/4/25,positive,iphone awesome
Apple,Review. Does it really need review?,2024/7/19,positive,review really need review
Apple,can this situation call excellent?. ,2023/11/29,negative,situation call excellent
Apple,Complain. The iPhone is getting hag and voice is going frequently den I need to switch off the phone I would like to complain for dis iPhone,2023/2/14,negative,complain iphone getting hag voice going frequently den need switch phone would like complain dis iphone
Apple,iPhone. Love the phone but again they sent me the wrong color. I wanted purple they sent me white yeah,2024/4/27,neutral,iphone love phone sent wrong color wanted purple sent white yeah
Apple,Mobile heated up quickly after use of some time.. Not working properly kinldy replace the item immediately,2023/10/21,negative,mobile heated quickly use time working properly kinldy replace item immediately
Apple,"Itâs an amazing phoneâ?First time IPhone user, great user interfaceâ¦Sexy looking phone.. Itâs an amazing phoneâ?First time IPhone user, great user interfaceâ¦Sexy looking phone.",2021/11/19,positive,itas amazing phoneafirst time iphone user great user interfaceasexy looking phone itas amazing phoneafirst time iphone user great user interfaceasexy looking phone
Apple,Maja nai aaya. Maja nai aaya sach bolu pichhla wala hi haiKuch naya waya karte nai hai yeh apple waale bilkul maja nai aaya,2022/8/3,negative,maja nai aaya maja nai aaya sach bolu pichhla wala hi haikuch naya waya karte nai hai yeh apple waale bilkul maja nai aaya
Apple,NYC looking  amazing  good service. NYC looking  amazing  good service,2024/6/22,positive,nyc looking amazing good service nyc looking amazing good service
Apple,Iphone at its best. Iphone at its best,2023/10/28,positive,iphone best iphone best
Apple,Well. I expected a better battery for this. Well. I expected a better battery for this.Rest all is pretty well,2022/4/13,neutral,well expected better battery well expected better battery thisrest pretty well
Apple,Good. Good but battery problem display is good charger is good sound good performance is good but battery issues,2024/6/6,positive,good good battery problem display good charger good sound good performance good battery issues
Apple,Not up to the mark. At first so excited  to take an iPhone.. Which went in vein.. Heating issue while charging.. Lag In every app.. I have no pros to say.. Even after updates,2024/8/28,negative,mark first excited take iphone went vein heating issue charging lag every app pros say even updates
Apple,iPhone. Like brand new great deal,2024/2/9,positive,iphone like brand new great deal
Apple,Good. Good,2024/2/1,positive,good good
Apple,issue with camera. issues with front camera,2023/7/11,negative,issue camera issues front camera
Apple,Most handy phone with best :). ,2023/10/31,positive,handy phone best
Apple,Good. No words,2023/12/23,positive,good words
Apple,Very good. Good working condition,2023/11/13,positive,good good working condition
Apple,Excellent. Excellent,2023/10/13,positive,excellent excellent
Apple,Nice Colour (Pink) Looks Like White. ,2021/9/29,positive,nice colour pink looks like white
Apple,Top notch. Good product,2024/2/17,positive,top notch good product
Apple,Iphone 15. Excellent phone,2024/12/5,positive,iphone excellent phone
Apple,Nice!!!!. Product is great,2024/5/15,positive,nice product great
Apple,Iphone 13. Best phone from the iphone series,2022/4/6,positive,iphone best phone iphone series
Apple,Animal footprint. Value for money,2023/8/28,positive,animal footprint value money
Apple,Itâs good. It came on time and works great,2024/4/14,positive,itas good came time works great
Apple,Not that much goodâ? There are some jitters and lags also have heating issue,2024/5/17,neutral,much gooda jitters lags also heating issue
Apple,ð¥°. ð¥°,2024/8/30,positive,ddeg ddeg
Apple,"Battery Caution. I bought it because it was in very good condition, but the battery was only at 90% from the start and there were scratches on the side.",2024/7/31,negative,battery caution bought good condition battery start scratches side
Apple,Awesome Ã°Å¸ËÅ Ã°Å¸âÅÃ°Å¸ÂÂ? Awesome phone Ã°Å¸ËÅ Ã¢ÅÅÃ°Å¸ÂÂ»,2023/10/13,positive,awesome adegaea adegaaaadegaaa awesome phone adegaea aaaadegaaa
Apple,Good product. Good product,2024/8/17,positive,good product good product
Apple,So So. Not justified it's cost,2022/4/29,positive,justified cost
Apple,Great experience. Phone came early and was in great shape!,2024/1/29,positive,great experience phone came early great shape
Apple,heating. sometimes overheating issues,2024/4/1,positive,heating sometimes overheating issues
Apple,Excellent. iPhone is best,2024/8/21,positive,excellent iphone best
Apple,This phone is locked cannot be activated. This phone is locked cannot be activated,2023/3/4,negative,phone locked cannot activated phone locked cannot activated
Apple,"The best budget phone. As expected , peak performance",2024/12/8,positive,best budget phone expected peak performance
Apple,pantalla con muchos razguÃ±os. la pantalla estaba en pÃ©simo estado,2023/9/22,negative,pantalla con muchos razguaos la pantalla estaba en pacsimo estado
Apple,Everything is awesome. I think this a great phone I have ever seen,2024/2/4,positive,everything awesome think great phone ever seen
Apple,Not support friendly apps. Not working to friendly apps Truecaller/call recording/and sudirect app really waste of money,2024/5/31,negative,support friendly apps working friendly apps truecallercall recordingand sudirect app really waste money
Apple,Is this USA version ??. I want USA version,2022/10/21,positive,usa version want usa version
Apple,Exquisite experience. Pretty Pink Color with amazing features apple has added to the new phone!Feels very light while holding the phone!Happy customer â¤ï¸,2021/9/28,positive,exquisite experience pretty pink color amazing features apple added new phonefeels light holding phonehappy customer ai
Apple,"A more advanced mobile phone. My previous phone wasn't very good so I was looking for a more advanced phone, so I'm glad I found this one.",2024/7/8,positive,advanced mobile phone previous phone wasnt good looking advanced phone im glad found one
Apple,Good. As per the expectation,2023/12/20,positive,good per expectation
Apple,Awesome product. Each and every thingLove this Product,2024/9/18,positive,awesome product every thinglove product
Apple,I want my money back. ,2022/8/21,negative,want money back
Apple,"It is really smart. Like : Siri, camera, security features, battery , one hand operation , fitÃ¢â¬â¢s easily in pocket.Dislike: the front camera set up blocks considerable amount screen at top.",2023/7/24,positive,really smart like siri camera security features battery one hand operation fitaaas easily pocketdislike front camera set blocks considerable amount screen top
Apple,Celular. Muy bien solo que no venia en caja,2024/5/13,positive,celular muy bien solo que venia en caja
Apple,great phone. not worth it though,2021/10/12,positive,great phone worth though
Apple,Only original phone. iPhone is only Apple phone. No other wise phone comparative in market than iPhone.,2024/12/7,positive,original phone iphone apple phone wise phone comparative market iphone
Apple,"Not upto iphone standards. the phone heats up abnormally, not a good sign for a brand new phone.",2023/2/5,negative,upto iphone standards phone heats abnormally good sign brand new phone
Apple,"Nice phone.. lovly. 9,/10",2024/4/19,positive,nice phone lovly
Apple,Review from the iPhone itself. FANTASTIC is the word to describe the experience. Coming from 10 years as android user including Pixel 4.,2022/7/14,positive,review iphone fantastic word describe experience coming years android user including pixel
Apple,Good product. My first iphone ....No fingerprint... ,2022/5/22,positive,good product first iphone fingerprint
Apple,Performance and ease of use. Main advantage is ease of use and performance. Phone never slows down even after your storage is almost fullDisadvantage is too much restrictions on media sharing and storage.,2024/5/30,positive,performance ease use main advantage ease use performance phone never slows even storage almost fulldisadvantage much restrictions media sharing storage
Apple,Ok. Good,2024/7/1,positive,ok good
Apple,Perfect product. I find this perfect colour is amazing I would suggest this to everyone,2024/6/29,positive,perfect product find perfect colour amazing would suggest everyone
Apple,"Perfect phone!. Phone looked like it is brand new, couldnât find any flaws and works great!",2024/4/29,positive,perfect phone phone looked like brand new couldnat find flaws works great
Apple,Battery 84%. Bad battery,2024/5/3,negative,battery bad battery
Apple,Awesome. Good product,2024/1/13,positive,awesome good product
Apple,Very soft. It met my expectations,2023/7/22,positive,soft met expectations
Apple,Excellent. iPhone is best,2024/8/21,positive,excellent iphone best
Apple,Excelente. Bateria al 100 pantalla cero rayones solo pequeÃ±os pellizcos en 2 esquinas ...exelente unidad muchas gracias  funciona el 100 gracias,2024/12/7,positive,excelente bateria al pantalla cero rayones solo pequeaos pellizcos en esquinas exelente unidad muchas gracias funciona el gracias
Apple,Phone didnât work. The phone would only stay on for 2 minutes at a time before restarting.,2024/8/9,negative,phone didnat work phone would stay minutes time restarting
Apple,Very cool product. ,2023/7/10,positive,cool product
Apple,Very good and nice product. Nice phone and nice performance all over is good in phone ð± comparison to14 better than the 13,2024/5/30,positive,good nice product nice phone nice performance good phone comparison better
Apple,There is normally. There is normally,2023/8/29,positive,normally normally
Apple,I GOT THIS AT 53000 256GB VARIENT AFTER EXCHANGE ONE OF THE BEST ð IAM VERY HAPPY. I GOT THIS AT 53000 256GB VARIENT AFTER EXCHANGE ONE OF THE BEST ð IAM VERY HAPPY,2023/10/15,positive,got gb varient exchange one best iam happy got gb varient exchange one best iam happy
Apple,Very Good. Value for money,2021/11/21,positive,good value money
Apple,Love it !. Amazing very smooth to use,2024/10/8,positive,love amazing smooth use
Apple,So So. Not justified it's cost,2022/4/29,positive,justified cost
Apple,I want to switch Android to iPhone. Hi I want to switch Android to iPhone. Someone please shopping for me. Thank you. And god always bless you.,2022/6/21,positive,want switch android iphone hi want switch android iphone someone please shopping thank god always bless
Apple,"good!. am very happy with it, it is almost like new.",2024/11/8,positive,good happy almost like new
Apple,Color start peeling off. Yes you heard it right after using 3 months noticed Color started peeling out and lots of such issues listed over apple community such a bogus brand and bogus phone,2023/7/19,neutral,color start peeling yes heard right using months noticed color started peeling lots issues listed apple community bogus brand bogus phone
Apple,Overheat. Heats too much that too with normal use,2024/12/5,neutral,overheat heats much normal use
Apple,Good review. Apple cheap company does not give a charger in the box.,2022/9/16,positive,good review apple cheap company give charger box
Apple,Camera is impressive but i am not happy with battery's. ,2024/7/8,positive,camera impressive happy batterys
Apple,iPhone 14. Loved it,2024/8/18,positive,iphone loved
Apple,Good. ðð¾,2024/6/23,positive,good dd
Apple,Good. Overall good,2024/5/25,positive,good overall good
Apple,Awesome. A Gem Ã¢ÂÂ¤Ã¯Â¸Â,2023/10/22,positive,awesome gem aaaaaa
Apple,Mobile heat and battery 93% just in 1 month. Mobile heat and battery 93% just in 1 month.. Kindly contact me how to change product,2024/3/30,negative,mobile heat battery month mobile heat battery month kindly contact change product
Apple,"Network problem. Very disappointed due to the system performance and serious network issues, no support from customer care support, suggested to update and after that asked to submit at service centre",2024/9/14,negative,network problem disappointed due system performance serious network issues support customer care support suggested update asked submit service centre
Apple,Ok. Ok,2024/5/18,positive,ok ok
Apple,Good. best,2024/8/31,positive,good best
Apple,Great. Love it,2024/3/9,positive,great love
Apple,ItÃ¢â¬â¢s amazing. Its very nice product in buget,2023/10/7,positive,itaaas amazing nice product buget
Apple,Worth every penny. .,2023/10/28,positive,worth every penny
Apple,1x camera having pink spot in photos.. Disappointed due to defect in camera.,2022/12/8,positive,x camera pink spot photos disappointed due defect camera
Apple,"Bestð. Go for it,ð",2024/5/20,positive,bestd go itd
Apple,Nice phone. Nice,2024/3/17,positive,nice phone nice
Apple,Battery ð poor. Pranto chakdaha Nadia West Bengal,2024/7/13,positive,battery poor pranto chakdaha nadia west bengal
Apple,"The screen sometimes freezes, I have to close and when reopen it to unfreeze.. I will have to go to AT&T to see if the freezings of screen can be fixed.  ð§",2024/11/4,neutral,screen sometimes freezes close reopen unfreeze go att see freezings screen fixed
Apple,Good. Good phone from apple,2024/4/9,positive,good good phone apple
Apple,"Iphone green line issu. After one year,, green line came. Display problem",2024/5/30,negative,iphone green line issu one year green line came display problem
Apple,Night click 11:00 pm. ,2024/7/15,positive,night click pm
Apple,ð¥³. ð¥³ð¥³,2024/7/26,positive,dd
Apple,Well it's better than 14 series have to give it thatl. The phone itself feels extremely lighter than the previous series and feels les venerable to falls the camera improvement are beyond nice..,2023/12/10,positive,well better series give thatl phone feels extremely lighter previous series feels les venerable falls camera improvement beyond nice
Apple,"Perfect. Refurbished, but looked new. Works as it should.",2024/9/9,positive,perfect refurbished looked new works
Apple,Excellent one. Superb mobile,2022/4/19,positive,excellent one superb mobile
Apple,"Adaptor didnot work. Adaptor supplied with it was not working, when taken to authorized service center they said the adaptor was fake.Do not bur adaptor with it.",2023/6/27,negative,adaptor didnot work adaptor supplied working taken authorized service center said adaptor fakedo bur adaptor
Apple,Superb Product. Nice User Experience,2021/12/17,positive,superb product nice user experience
Apple,Best. Best,2024/2/9,positive,best best
Apple,Complete phone ðð. Super,2022/2/8,positive,complete phone dd super
Apple,"Iphone 15 plus is a better choice.. Bettery life is good, camera is average, i think iphone 15 is a best choice.",2024/2/22,neutral,iphone plus better choice bettery life good camera average think iphone best choice
Apple,Worth every penny. Just awesome,2022/1/6,positive,worth every penny awesome
Apple,Same as iphone 13 but slightly display and camera upgrade. G r e a t p h o n e t o u s e . T h a n k s,2024/8/17,positive,iphone slightly display camera upgrade g r e p h n e u e h n k
Apple,No pain on operating. Each thing is good but as visible midnight Black that is totally different which I find so could be better if it's totally black or z black.,2022/2/20,positive,pain operating thing good visible midnight black totally different find could better totally black z black
Apple,Very short Apple Care left.. Phone box still original seals and protection fitted but there was only 61 days left of Apple Care. Not impressed.,2022/8/14,neutral,short apple care left phone box still original seals protection fitted days left apple care impressed
Apple,Good. Nice color,2023/10/24,positive,good nice color
Apple,Best in the range. Best in the range,2024/1/29,positive,best range best range
Apple,Camara is outstanding. #Camara is outstanding#Battery Backup need improvement#All is well,2024/4/24,positive,camara outstanding camara outstandingbattery backup need improvementall well
Apple,Good. Good,2024/5/13,neutral,good good
Apple,Excelente. Para el precio que pague es un muy buen equipo muy satisfecho x my compra,2023/6/5,positive,excelente para el precio que pague es un muy buen equipo muy satisfecho x compra
Apple,Wonderful phone as always. iPhone 14 has been a good experience on the eyes apart from the other advantages that iPhone delivers as default.,2023/8/20,positive,wonderful phone always iphone good experience eyes apart advantages iphone delivers default
Apple,Performance. Average phone,2024/2/27,positive,performance average phone
Apple,Cable is not working after 3 months. I bought this in july 16 and now my cable is not working,2023/10/10,positive,cable working months bought july cable working
Apple,91%. Battery capacity 91%,2023/8/25,positive,battery capacity
Apple,Como si fuera de paquete. Feliz con mi iPhone es igual a comprar uno en la tienda de Apple.,2023/10/25,positive,como si fuera de paquete feliz con mi iphone es igual comprar uno en la tienda de apple
